Lp.;Name;Ingredient;Postać farmaceutyczna;Dawka;Wielkość opakowania;Kat. dost.;EAN;Wytwórca;Kraj wytwórcy
25;ACC mini;Acetylcysteinum;proszek do sporządzania roztworu doustnego;20 mg/ml;"1 butelka - 30 g proszku
1 butelka - 60 g proszku";"OTC
OTC";"5909990824618
5909990824625";Salutas Pharma GmbH;D
26;ACC mini;Acetylcysteinum;tabletki;100 mg;20 tabl.;OTC;5909990922512;Salutas Pharma GmbH;D
27;ACC mini;Acetylcysteinum;tabletki musujące;100 mg;20 tabl.;OTC;5909990331215;Salutas Pharma GmbH;D
28;Accolate;Zafirlukastum;tabletki powlekane;20 mg;"28 tabl.
56 tabl.";"Rp
Rp";"5909990771912
5909990771929";AstraZeneca UK Ltd.;GB
29;Accupro 5;Quinaprilum;tabletki powlekane;5 mg;"30 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990706914
5909990706921
5909990706938";Pfizer Manufacturing Deutschland GmbH ;D
30;Accupro 10;Quinaprilum;tabletki powlekane;10 mg;"30 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990707010
5909990707027
5909990707034";Pfizer Manufacturing Deutschland GmbH ;D
31;Accupro 20;Quinaprilum;tabletki powlekane;20 mg;"30 tabl.
50 tabl.
100 tabl.";"Rp
Rp
Rp";"5909990707119
5909990707126
5909990707133";Pfizer Manufacturing Deutschland GmbH ;D
32;Accupro 40;Quinaprilum;tabletki powlekane;40 mg;"28 tabl.
56 tabl.";"Rp
Rp";"5909991080129
5909991080136";Pfizer Manufacturing Deutschland GmbH ;D
33;Accusol 35;Produkt złożony;roztwór do hemofiltracji, hemodializy i hemodiafiltracji;;2 worki 5 L;Rp;5909990610747;"Baxter Healthcare S.A.
Bieffe Medital S.p.A.";"IRL
I"
34;"Accusol 35 Potassium 
2 mmol/l";Produkt złożony;roztwór do hemofiltracji, hemodializy i hemodiafiltracji;;2 worki 5 L;Rp;5909990610761;"Baxter Healthcare S.A.
Bieffe Medital S.p.A.";"IRL
I"
35;"Accusol 35 Potassium 
4 mmol/l";Produkt złożony;roztwór do hemofiltracji, hemodializy i hemodiafiltracji;;2 worki 5 L;Rp;5909990610846;"Baxter Healthcare S.A.
Bieffe Medital S.p.A.";"IRL
I"
36;Accustad H 10/12,5mg;Quinaprilum + Hydrochlorothiazidum;tabletki powlekane;10 mg + 12,5 mg;30 tabl.;Rp;5909990211876;Actavis hf.;IS
37;Accustad H 20/12,5mg;Quinaprilum + Hydrochlorothiazidum;tabletki powlekane;20 mg + 12,5 mg;30 tabl.;Rp;5909990211883;Actavis hf.;IS
38;Accuzide;Hydrochlorothiazidum + Quinaprilum;tabletki powlekane;12,5 mg + 10 mg;30 tabl.;Rp;5909990867318;Pfizer Manufacturing Deutschland GmbH ;D
39;Accuzide 20;Hydrochlorothiazidum + Quinaprilum;tabletki powlekane;12,5 mg + 20 mg;30 tabl.;Rp;5909990867417;Pfizer Manufacturing Deutschland GmbH ;D
40;Acecor;Acebutololum;tabletki powlekane;400 mg;30 tabl. ;Rp;5909990666515;Doppel Farmaceutici S.r.l.;I
41;Acenocumarol WZF;Acenocoumarolum;tabletki;1 mg;60 tabl.;Rp;5909991075019;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
42;Acenocumarol WZF;Acenocoumarolum;tabletki;4 mg;60 tabl.;Rp;5909990055715;Warszawskie Zakłady Farmaceutyczne POLFA S.A.;PL
43;Acenol;Paracetamolum;tabletki;300 mg;"6 tabl.
20 tabl.";"OTC
OTC";"5909990140213
5909990140237";Farmaceutyczna Spółdzielnia Pracy GALENA;PL
44;Acenol Forte;Paracetamolum;tabletki;500 mg;20 tabl.;OTC;5909990255917;Farmaceutyczna Spółdzielnia Pracy GALENA;PL
45;Acerin;Acidum salicylicum + Acidum lacticum;płyn do stosowania na skórę;(195 mg + 98 mg)/g;1 op. 8 g;OTC;5909990244218;Scan-Anida Sp. z o.o.;PL
46;Acesan;Acidum acetylsalicylicum;tabletki;30 mg;60 tabl.;OTC;5909990032518;Sun-Farm Sp. z o.o.;PL
47;Acesan;Acidum acetylsalicylicum;tabletki;50 mg;60 tabl.;OTC;5909990032617;Sun-Farm Sp. z o.o.;PL
48;Acesan;Acidum acetylsalicylicum;tabletki;75 mg;"60 tabl.
200 tabl.";"OTC
OTC";"5909990032716
5909990032723";Sun-Farm Sp. z o.o.;PL
49;Acespargin;Kalii N-acetylhydrogenoaspartas;tabletki;46 mg K+;30 tabl.;Rp;5909990210510;Farmaceutyczna Spółdzielnia Pracy FILOFARM;PL
50;Acetylcysteine Sandoz;Acetylcysteinum;roztwór do infuzji;100 mg/ml;"5 amp. 3 ml
10 amp. 3 ml
50 amp. 3 ml";"Rp
Rp
Rp";"5909990789313
5909990789320
5909990789337";"Jenahexal Pharma GmbH
Salutas Pharma GmbH";"D
D"
51;Achillea millefolium;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"2CH - 1 op.1 g
2CH - 1 op. 4 g
2CH - 1 op. 60 ml
4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml";"OTC: 2CH - 15CH
Rp: 30CH - 200CH; 6K - 100MK";"5909997032450
5909997032443
5909997032474
5909997085166
5909997083339
5909997085319
5909997085173
5909997083346
5909997085326
5909997085180
5909997083353
5909997085333
5909997085197
5909997083360
5909997085340
5909997085203
5909997083377
5909997085357
5909997085210
5909997083384
5909997085364
5909997085227
5909997083391
5909997085371
5909997085234
5909997083407
5909997085388
5909997085241
5909997083414
5909997085395";Boiron SA;FR
;;;;;"12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml
30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997085258
5909997083421
5909997085401
5909997085265
5909997085111
5909997085418
5909997085272
5909997085128
5909997085425
5909997085289
5909997085135
5909997085432
5909997085296
5909997085142
5909997085449
5909997085302
5909997085159
5909997085456";;
52;Aciclovir Jelfa;Aciclovirum;proszek do sporządzania roztworu do infuzji;250 mg;5 fiol. proszku;Lz;5909990405213;Przedsiębiorstwo Farmaceutyczne Jelfa S.A.;PL
53;Aciclovir Mylan;Aciclovirum;koncentrat do sporządzania roztworu do infuzji;25 mg/ml;"5 amp. 10 ml
5 amp. 20 ml
10 amp. 10 ml
10 amp. 20 ml
20 amp. 10 ml
20 amp. 20 ml
50 amp. 10 ml
50 amp. 20 ml";"Lz
Lz
Lz
Lz
Lz
Lz
Lz
Lz";"5909990915194
5909990915255
5909990915200
5909990915262
5909990915231
5909990915279
5909990915248
5909990915286";"Haupt Pharma
Mylan S.A.S.";"F
F"
54;Acidum Folicum Hasco;Acidum folicum;tabletki;5 mg;"30 tabl.
60 tabl.
90 tabl.";"Rp
Rp
Rp";"5909991027216
5909991027223
5909991027230";Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;PL
55;Acidum Folicum Hasco;Acidum folicum;tabletki;15 mg;"30 tabl.
60 tabl.
90 tabl.";"Rp
Rp
Rp";"5909991027315
5909991027322
5909991027339";Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;PL
56;Acidum folicum Polfarmex;Acidum folicum;tabletki;5 mg;"30 tabl. w blistrze
30 tabl. w fiolce";"Rp
Rp";"5909991003210
5909991003227";Polfarmex S.A.;PL
57;Acidum folicum Polfarmex;Acidum folicum;tabletki;15 mg;"30 tabl w fiolce
30 tabl. w blistrze";"Rp
Rp";"5909991003326
5909991003319";Polfarmex S.A.;PL
58;Acidum folicum Richter;Acidum folicum;tabletki;5 mg;30 tabl.;Rp;5909990109210;Gedeon Richter Polska Sp. z o.o.;PL
59;Acidum folicum Richter;Acidum folicum;tabletki;15 mg;30 tabl.;Rp;5909990109319;"Grodziskie Zakłady Farmaceutyczne ""Polfa"" Sp. z o.o.";PL
60;Acidum phosphoricum complexe Nr 5;Homeopatyczny produkt leczniczy;krople doustne, roztwór;;1 butelka 30 ml;OTC;5909990023981;Laboratoires Lehning;F
61;Acidwell;Pantoprazolum;tabletki dojelitowe;20 mg;"7 tabl. w blistrach
7 tabl. w pojemniku
14 tabl. w blistrach
14 tabl. w pojemniku";"OTC
OTC
OTC
OTC";"5909990872008
5909990872046
5909990872053
5909990872060";"LEK S.A.
Lek Pharmaceuticals d.d.
Lek Pharmaceuticals d.d.
S.C. Sandoz S.R.L.
Salutas Pharma GmbH";"PL
SLO
SLO
RO
D"
62;Acifolik;Acidum folicum;tabletki;0,4 mg;"30 tabl.
60 tabl.";"Rp
Rp";"5909991027414
5909991027421";Przedsiębiorstwo Produkcji Farmaceutycznej HASCO-LEK S.A.;PL
63;Acifungin;Produkt złożony;roztwór na skórę;;1 butelka 30 ml;OTC;5909990238910;"Zakłady Farmaceutyczne ""UNIA"" Spółdzielnia Pracy";PL
64;Acifungin forte;Produkt złożony;roztwór na skórę;;1 butelka 30 ml;OTC;5909990239016;"Zakłady Farmaceutyczne ""UNIA"" Spółdzielnia Pracy";PL
65;Acilesol;Rabeprazolum natricum;tabletki dojelitowe;10 mg;"14 tabl.
28 tabl.";"Rp
Rp";"5909990809554
5909990809561";Actavis hf.;IS
66;Acilesol;Rabeprazolum natricum;tabletki dojelitowe;20 mg;"14 tabl.
28 tabl.";"Rp
Rp";"5909990809578
5909990809585";Actavis hf.;IS
67;Aciprex;Escitalopramum;tabletki powlekane;5 mg;"7 tabl.
10 tabl.
14 tabl. (1 x 14)
14 tabl. (2 x 7)
20 tabl.
28 tabl. (2 x 14)
28 tabl. (4 x 7)
30 tabl.
30 tabl. (3 x 10)
56 tabl. (4 x 14)
56 tabl. (8 x 7)";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990758869
5909990758876
5909990758883
5909990758890
5909990758906
5909990758944
5909990758951
5909990758975
5909990758968
5909990758982
5909990758999";"Biofarm Sp. z o.o.
HBM Pharma s.r.o.";"PL
SK"
68;Aciprex;Escitalopramum;tabletki powlekane;10 mg;"7 tabl.
10 tabl.
14 tabl. (1 x 14)
14 tabl. (2 x 7)
20 tabl.
28 tabl. (2 x 14)
28 tabl. (4 x 7)
30 tabl.
30 tabl. (3 x 10)
56 tabl. (4 x 14)
56 tabl. (8 x 7)";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990759002
5909990759057
5909990759064
5909990759071
5909990759088
5909990759095
5909990759101
5909990759163
5909990759156
5909990759170
5909990759187";"Biofarm Sp. z o.o.
HBM Pharma s.r.o.";"PL
SK"
69;Aciprex;Escitalopramum;tabletki powlekane;15 mg;"7 tabl.
10 tabl.
14 tabl. (1 x 14)
14 tabl. (2 x 7)
20 tabl.
28 tabl. (2 x 14)
28 tabl. (4 x 7)
30 tabl.
30 tabl. (3 x 10)
56 tabl. (4 x 14)
56 tabl. (8 x 7)";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990759194
5909990759200
5909990759217
5909990759224
5909990759231
5909990759248
5909990759255
5909990759279
5909990759262
5909990759286
5909990759293";"Biofarm Sp. z o.o.
HBM Pharma s.r.o.";"PL
SK"
70;Aciprex;Escitalopramum;tabletki powlekane;20 mg;"7 tabl.
10 tabl.
14 tabl. (1 x 14)
14 tabl. (2 x 7)
20 tabl.
28 tabl. (2 x 14)
28 tabl. (4 x 7)
30 tabl.
30 tabl. (3 x 10)
56 tabl. (4 x 14)
56 tabl. (8 x 7)";"Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp
Rp";"5909990759309
5909990759330
5909990759347
5909990759354
5909990759361
5909990759378
5909990759385
5909990759408
5909990759392
5909990759415
5909990759422";"Biofarm Sp. z o.o.
HBM Pharma s.r.o.";"PL
SK"
71;Acitren;Acitretinum;kapsułki twarde;10 mg;"30 kaps.
50 kaps.
100 kaps.";"Rp
Rp
Rp";"5909990907731
5909990907748
5909990907755";mibe GmbH Arzneimittel;D
72;Acitren;Acitretinum;kapsułki twarde;25 mg;"30 kaps.
50 kaps.
100 kaps.";"Rp
Rp
Rp";"5909990907762
5909990907779
5909990907786";Regiomedica GmbH;D
73;Acivalor;Valaciclovirum;tabletki powlekane;500 mg;10 tabl.;Rp;5909990722952;Pharmathen S.A.;GR
74;Acix 250;Aciclovirum;proszek do sporządzania roztworu do infuzji;250 mg;10 fiol. proszku;Lz;5909990868018;Salutas Pharma GmbH;D
75;Acix 500;Aciclovirum;proszek do sporządzania roztworu do infuzji;500 mg;10 fiol. proszku;Lz;5909990868117;Salutas Pharma GmbH;D
76;Aclotin;Ticlopidini hydrochloridum;tabletki powlekane;250 mg;"20 tabl.
60 tabl.";"Rp
Rp";"5909990667116
5909990334971";ICN Polfa Rzeszów S.A.;PL
77;Acne-Derm;Acidum azelaicum;krem;200 mg/g;1 tuba 20 g;OTC;5909990862719;"Zakłady Farmaceutyczne ""UNIA"" Spółdzielnia Pracy";PL
78;Acnevulten fix;Equiseti herba + Tara.Xaci herba cum radice + Violae arvensis herba;zioła do zaparzania w saszetkach;(0,5 g + 1 g + 0,5 g)/sasz.;"20 sasz. 2 g
30 sasz. 2 g";"OTC
OTC";"5909990197613
5909990197620";"Herbapol - Lublin S.A.
Herbapol - Lublin S.A. Oddział w Białymstoku";"PL
PL"
79;Acodin;Dextromethorphani hydrobromidum;tabletki;15 mg;30 tabl.;OTC;5909990404216;Sanofi-Aventis Sp. z o.o. w Warszawie, Oddział w Rzeszowie;PL
80;Acodin 150 Junior;Dexpanthenolum + Dextromethorphani hydrobromidum;syrop;(50 mg + 7,5 mg)/5 ml;"1 butelka 100 ml
1 butelka 100 ml";"Rp
Rp";"5909990031610
5909990068197";"Sanofi-Aventis Sp. z o.o. w Warszawie, Oddział w Rzeszowie
Unither Liquid Manufacturing";"PL


F"
81;Acodin 300;Dexpanthenolum + Dextromethorphani hydrobromidum;syrop;(50 mg + 15 mg)/5 ml;"1 butelka 100 ml
1 butelka 100 ml";"OTC
OTC";"5909990031719
5909990068180";"Sanofi-Aventis Sp. z o.o. w Warszawie, Oddział w Rzeszowie
Unither Liquid Manufacturing";"PL


F"
82;Aconitum/China comp.;Homeopatyczny produkt leczniczy;granulki;;1 butelka 20 g;Rp;5909990423842;WALA Heilmittel GmbH;D
83;Aconitum comp.;Homeopatyczny produkt leczniczy;krople do uszu, roztwór;;1 butelka 10 ml;OTC;5909990423798;WALA Heilmittel GmbH;D
84;Aconitum-Dagomed 1 Grypa;Homeopatyczny produkt leczniczy;granulki;;1 butelka 7 g;OTC;5909990045068;Dagomed-Pharma Sp. z o.o.;PL
85;Aconitum napellus;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"2CH - 1 op.1 g
2CH - 1 op. 4 g
2CH - 1 op. 60 ml
4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml";"OTC: 5CH - 15CH
Rp: 2CH - 4CH; 30CH - 200CH; 6K - 100MK";"5909997027425
5909997027418
5909997027449
5909997085616
5909997085463
5909997087412
5909997085623
5909997085470
5909997087429
5909997085630
5909997085487
5909997087436
5909997085647
5909997085494
5909997087443
5909997085654
5909997085500
5909997087450
5909997087313
5909997085517
5909997087467
5909997087320
5909997085524
5909997087474
5909997087337
5909997085531
5909997087481
5909997087344
5909997085548
5909997087498";Boiron SA;FR
;;;;;"12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml
30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997087351
5909997085555
5909997087504
5909997087368
5909997085562
5909997087511
5909997087375
5909997085579
5909997087528
5909997087382
5909997085586
5909997087535
5909997087399
5909997085593
5909997087542
5909997087405
5909997085609
5909997087559";;
86;Actaea racemosa ;Homeopatyczny produkt leczniczy ;"granulki; granulki w pojemniku jednodawkowym, krople doustne roztwór";"2CH, 4CH, 5CH, 7CH, 9CH, 12CH, 15CH, 30CH, 200CH, 
6K, 12K, 30K, 200K, 1MK, 10MK, 100MK";"2CH - 1 op.1 g
2CH - 1 op. 4 g
2CH - 1 op. 60 ml
4CH - 1 op.1 g
4CH - 1 op. 4 g
4CH - 1 op. 60 ml
5CH - 1 op.1 g
5CH - 1 op. 4 g
5CH - 1 op. 60 ml
7CH - 1 op.1 g
7CH - 1 op. 4 g
7CH - 1 op. 60 ml
9CH - 1 op.1 g
9CH - 1 op. 4 g
9CH - 1 op. 60 ml
12CH - 1 op.1 g
12CH - 1 op. 4 g
12CH - 1 op. 60 ml
15CH - 1 op.1 g
15CH - 1 op. 4 g
15CH - 1 op. 60 ml
30CH - 1 op.1 g
30CH - 1 op. 4 g
30CH - 1 op. 60 ml
200CH - 1 op.1 g
200CH - 1 op. 4 g
200CH - 1 op. 60 ml
6K - 1 op.1 g
6K - 1 op. 4 g
6K - 1 op. 60 ml";"OTC: 5CH - 15CH
Rp: 2CH - 4CH; 30CH - 200CH; 6K - 100MK";"5909997034911
5909997034904
5909997034935
5909997087719
5909997087566
5909997089515
5909997087726
5909997087573
5909997089522
5909997087733
5909997087580
5909997089539
5909997087740
5909997087597
5909997089546
5909997087757
5909997087603
5909997089553
5909997087764
5909997087610
5909997089560
5909997087771
5909997087627
5909997089577
5909997087788
5909997087634
5909997089584
5909997087795
5909997087641
5909997089591";Boiron SA;FR
;;;;;"12K - 1 op.1 g
12K - 1 op. 4 g
12K - 1 op. 60 ml
30K - 1 op.1 g
30K - 1 op. 4 g
30K - 1 op. 60 ml
200K - 1 op.1 g
200K - 1 op. 4 g
200K - 1 op. 60 ml
1MK - 1 op.1 g
1MK - 1 op. 4 g
1MK - 1 op. 60 ml
10MK - 1 op.1 g
10MK - 1 op. 4 g
10MK - 1 op. 60 ml
100MK - 1 op.1 g
100MK - 1 op. 4 g
100MK - 1 op. 60 ml";;"5909997087801
5909997087658
5909997089607
5909997087818
5909997087665
5909997089614
5909997087825
5909997087672
5909997089621
5909997087832
5909997087689
5909997089638
5909997087849
5909997087696
5909997089645
5909997087856
5909997087702
5909997089652";;
87;Actamone;Montelukastum;tabletki do rozgryzania i żucia;4 mg;"28 tabl.
30 tabl.
56 tabl.
60 tabl.";"Rp
Rp
Rp
Rp";"5909990842391
5909990842407
5909990842421
5909990842438";Actavis Ltd.;MT
